Date;Open;High;Low;Close;Volume;Ticker;Industry;Time
23/01/2025 00:00;627.3599854;636.5999756;621.1500244;636.4500122;9910200;META;Technology;Pre Quarter
24/01/2025 00:00;636.4000244;652;634.2000122;647.4899902;19065300;META;Technology;Pre Quarter
27/01/2025 00:00;626.6099854;663.8699951;625.0999756;659.8800049;28399200;META;Technology;Pre Quarter
28/01/2025 00:00;666;682.5800171;659.4699707;674.3300171;20950100;META;Technology;Pre Quarter
29/01/2025 00:00;675;681.0499878;665.6699829;676.4899902;21377800;META;Technology;Pre Quarter
30/01/2025 00:00;696.8200073;710.789978;676.0999756;687;29322900;META;Technology;Pre Quarter
31/01/2025 00:00;691;705.2999878;685.5800171;689.1799927;19331700;META;Technology;Pre Quarter
03/02/2025 00:00;675.9099731;704;675.25;697.460022;21415700;META;Technology;Pos Quarter
04/02/2025 00:00;702.5;707.710022;691.6099854;704.1900024;13826300;META;Technology;Pos Quarter
05/02/2025 00:00;703.5499878;718.1400146;699.0100098;704.8699951;17778200;META;Technology;Pos Quarter
06/02/2025 00:00;705.8800049;718.9000244;703.5;711.9899902;13080700;META;Technology;Pos Quarter
07/02/2025 00:00;716.7999878;725.0100098;711.75;714.5200195;16427100;META;Technology;Pos Quarter
10/02/2025 00:00;718.5599976;721.2000122;711.3300171;717.4000244;12904300;META;Technology;Pos Quarter
11/02/2025 00:00;713.3200073;723.6599731;710.039978;719.7999878;12998000;META;Technology;Pos Quarter
12/02/2025 00:00;715.2999878;727.0999756;712.5999756;725.3800049;12016500;META;Technology;0
13/02/2025 00:00;721.5200195;729;718.039978;728.5599976;12569100;META;Technology;0
14/02/2025 00:00;726.1400146;740.9099731;725.6199951;736.6699829;16901200;META;Technology;0
18/02/2025 00:00;736;737;706.4400024;716.3699951;21912100;META;Technology;0
19/02/2025 00:00;704.0949707;707;695.4044189;701.7199707;9455407;META;Technology;0
21/01/2025 00:00;146.3882149;147.6778945;145.8822702;146.973526;11111700;JNJ;Healthcare;0
22/01/2025 00:00;142.8564902;144.3148181;140.9814994;144.1164093;16834700;JNJ;Healthcare;0
23/01/2025 00:00;144.2850572;146.735444;143.6600552;145.4755249;10506400;JNJ;Healthcare;Pre Quarter
24/01/2025 00:00;145.6441682;146.4576638;145.2175902;145.6540985;9887300;JNJ;Healthcare;Pre Quarter
27/01/2025 00:00;147.271144;152.2314386;146.8247205;151.6758881;15152300;JNJ;Healthcare;Pre Quarter
28/01/2025 00:00;151.4477146;151.7552504;149.106455;149.1858215;10320600;JNJ;Healthcare;Pre Quarter
29/01/2025 00:00;149.3048748;150.673921;148.8088453;149.949707;7156400;JNJ;Healthcare;Pre Quarter
30/01/2025 00:00;150.7036835;152.9159708;150.158048;151.6560516;8911000;JNJ;Healthcare;Pre Quarter
31/01/2025 00:00;151.4080261;151.9635767;150.8524755;150.9417572;8458700;JNJ;Healthcare;Pre Quarter
03/02/2025 00:00;150.7929587;151.2592276;149.5826456;150.6639862;6687500;JNJ;Healthcare;Pos Quarter
04/02/2025 00:00;150.158043;152.9556414;149.7512952;152.2711334;9645000;JNJ;Healthcare;Pos Quarter
05/02/2025 00:00;152.5985072;153.5012693;152.0925475;153.4615936;8947000;JNJ;Healthcare;Pos Quarter
06/02/2025 00:00;153.5607888;153.6103947;152.1619972;152.2909546;7418100;JNJ;Healthcare;Pos Quarter
07/02/2025 00:00;152.3108005;153.2631837;151.5866018;151.9040527;6204900;JNJ;Healthcare;Pos Quarter
10/02/2025 00:00;152.3901805;153.1441399;151.0806554;153.0151825;6936200;JNJ;Healthcare;Pos Quarter
11/02/2025 00:00;152.8862039;155.1480971;152.7175557;154.8901672;7554500;JNJ;Healthcare;Pos Quarter
12/02/2025 00:00;154.0369994;154.4239018;153.0449404;154.0270691;7746000;JNJ;Healthcare;0
13/02/2025 00:00;154.0270638;156.8742832;153.5607949;156.0012665;10704700;JNJ;Healthcare;0
14/02/2025 00:00;156.0409503;156.2195288;154.820722;154.9100037;6411800;JNJ;Healthcare;0
18/02/2025 00:00;154.1399994;155.4499969;153.2400055;154.9900055;9670200;JNJ;Healthcare;0
